hydro_rum_name,label_abv,hydro_abv,additives_g_l,hydro_source,name,company,country,ratings,score,type,rum_url,img_url,br_score,id,itemId,itemNumber,company_name,name2,price,volume,pricePerLiter,salesStart,packaging,seal,origin,countryOfOrigin,producer,supplier,vintage,alcoholByVolume,assortment,organic,kosher,base,price_per_liter_usd
NA,NA,NA,NA,NA,Ron Viejo Viejo,Ron Viejo,Costa Rica,0,0,Aged,/brands/6696-ron-viejo-viejo,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.77536295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Ron Viejo de Caldas Carta de Oro,Ron Viejo,Colombia,2,4,Aged,/brands/846-ron-viejo-de-caldas-carta-de-oro,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/846/small_Ron_Viejo_Carta_de_Oro_rum.png,4.658133076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Ron Viejo de Caldas Gold,Ron Viejo,Colombia,0,0,Gold,/brands/850-ron-viejo-de-caldas-gold,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/850/small_Ron_Viejo_Gold_rum.png,4.77536295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Ron Viejo de Caldas Gran Reserva Especial 15-Year,Ron Viejo,Colombia,1,4,Aged,/brands/6498-ron-viejo-de-caldas-gran-reserva-especial-15-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/6498/small_ron-viejo-de-caldas-gran-reserva-especial-15-year.png,4.711954542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Ron Viejo de Caldas Gran Reserve,Ron Viejo,Colombia,2,7.5,Aged,/brands/849-ron-viejo-de-caldas-gran-reserve,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/849/small_Ron_Viejo_de_Caldas_Gran_Reserve_rum.png,5.187310489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Ron Viejo de Caldas Gran Reserve Especial,Ron Viejo,Colombia,9,7.7,Aged,/brands/1145-ron-viejo-de-caldas-gran-reserve-especial,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1145/small_Ron_Viejo_de_Caldas_Gran_Reserve_Especial_rum.png,6.076610339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Ron Viejo de Caldas Juan de la Cruz 5-Year,Ron Viejo,Colombia,3,6,Aged,/brands/5667-ron-viejo-de-caldas-juan-de-la-cruz-5-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/5667/small_ron-viejo-de-caldas-juan-de-la-cruz-5-year.png,5.033578515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Ron Viejo de Caldas LeÃ³n Dormido 21-Year,Ron Viejo,Colombia,1,8,Aged,/brands/11701-ron-viejo-de-caldas-leon-dormido-21-year,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,5.03907055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Ron Viejo de Caldas 8-Year,Ron Viejo,Colombia,22,6.1,Aged,/brands/848-ron-viejo-de-caldas-8-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/848/small_Ron_Viejo_de_Caldas_8-Year_rum.png,5.65239277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Ron Viejo de Caldas 3-Year,Ron Viejo,Colombia,23,5.3,Gold,/brands/847-ron-viejo-de-caldas-3-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/847/small_Ron_Viejo_de_Caldas_3-Year_rum.png,5.127899608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
